Source,Target,Type
"family:Unknown","order:Carnivora","MEMBER_OF"
"species:Protemnocyon inflatus","family:Unknown","MEMBER_OF"
"family:Ixodidae","order:Ixodida","MEMBER_OF"
"species:Nosomma monstrosum","family:Ixodidae","MEMBER_OF"
"species:Nosomma monstrosum","modality:Chemoreception","HAS_SENSE"
"species:Nosomma monstrosum","modality:Thermoreception","HAS_SENSE"
"species:Nosomma monstrosum","modality:Mechanoreception","HAS_SENSE"
"family:Accipitridae","order:Accipitriformes","MEMBER_OF"
"species:Wahlberg's eagle","family:Accipitridae","MEMBER_OF"
"species:Wahlberg's eagle","modality:Photoreception","HAS_SENSE"
"family:Viperidae","order:None","MEMBER_OF"
"species:Sabah pit viper","family:Viperidae","MEMBER_OF"
"species:Ixodes monospinosus","family:Ixodidae","MEMBER_OF"
"species:Ixodes monospinosus","modality:Chemoreception","HAS_SENSE"
"species:Ixodes monospinosus","modality:Thermoreception","HAS_SENSE"
"species:Ixodes monospinosus","modality:Mechanoreception","HAS_SENSE"
"family:Culicidae","order:Diptera","MEMBER_OF"
"species:Sabethes forattinii","family:Culicidae","MEMBER_OF"
"family:Felidae","order:Carnivora","MEMBER_OF"
"species:Felis colocolo","family:Felidae","MEMBER_OF"
"species:Oncilla","family:Felidae","MEMBER_OF"
"species:Oncilla","modality:Mechanoreception","HAS_SENSE"
"sub_type:Auditory Communication","modality:Mechanoreception","INSTANCE_OF"
"species:Oncilla","sub_type:Auditory Communication","HAS_SENSE"
"sub_type:Tactile Communication","modality:Mechanoreception","INSTANCE_OF"
"species:Oncilla","sub_type:Tactile Communication","HAS_SENSE"
"species:Oncilla","modality:Photoreception","HAS_SENSE"
"family:Ursidae","order:Carnivora","MEMBER_OF"
"species:Platykopus stuartjohnstoni","family:Ursidae","MEMBER_OF"
"family:Harpirhynchidae","order:Actinedida","MEMBER_OF"
"species:Harpyrhynchoides accipiter","family:Harpirhynchidae","MEMBER_OF"
"species:Harpyrhynchoides accipiter","modality:Photoreception","HAS_SENSE"
"species:Harpyrhynchoides accipiter","modality:Mechanoreception","HAS_SENSE"
"species:Harpyrhynchoides accipiter","modality:Chemoreception","HAS_SENSE"
"family:Tungidae","order:Siphonaptera","MEMBER_OF"
"species:Tunga penetrans","family:Tungidae","MEMBER_OF"
