ID,Label,Type
"order:Carnivora","Carnivora","order"
"family:Unknown","Unknown","family"
"species:Protemnocyon inflatus","Protemnocyon inflatus","species"
"order:Ixodida","Ixodida","order"
"family:Ixodidae","Ixodidae","family"
"species:Nosomma monstrosum","Nosomma monstrosum","species"
"modality:Chemoreception","Chemoreception","modality"
"modality:Thermoreception","Thermoreception","modality"
"modality:Mechanoreception","Mechanoreception","modality"
"order:Accipitriformes","Accipitriformes","order"
"family:Accipitridae","Accipitridae","family"
"species:Wahlberg's eagle","Wahlberg's eagle","species"
"modality:Photoreception","Photoreception","modality"
"order:None","None","order"
"family:Viperidae","Viperidae","family"
"species:Sabah pit viper","Sabah pit viper","species"
"species:Ixodes monospinosus","Ixodes monospinosus","species"
"order:Diptera","Diptera","order"
"family:Culicidae","Culicidae","family"
"species:Sabethes forattinii","Sabethes forattinii","species"
"family:Felidae","Felidae","family"
"species:Felis colocolo","Felis colocolo","species"
"species:Oncilla","Oncilla","species"
"sub_type:Auditory Communication","Auditory Communication","sub_type"
"sub_type:Tactile Communication","Tactile Communication","sub_type"
"family:Ursidae","Ursidae","family"
"species:Platykopus stuartjohnstoni","Platykopus stuartjohnstoni","species"
"order:Actinedida","Actinedida","order"
"family:Harpirhynchidae","Harpirhynchidae","family"
"species:Harpyrhynchoides accipiter","Harpyrhynchoides accipiter","species"
"order:Siphonaptera","Siphonaptera","order"
"family:Tungidae","Tungidae","family"
"species:Tunga penetrans","Tunga penetrans","species"
"species:Rhipicephalus ramachandrai","Rhipicephalus ramachandrai","species"
"species:Elephas ekorensis","Elephas ekorensis","species"
"order:Lamniformes","Lamniformes","order"
"family:Pseudocarchariidae","Pseudocarchariidae","family"
"species:Great White Shark","Great White Shark","species"
"modality:Electroreception","Electroreception","modality"
"species:Cougar","Cougar","species"
"order:Hymenoptera","Hymenoptera","order"
"family:Formicidae","Formicidae","family"
"species:Camponotus pilicornis","Camponotus pilicornis","species"
"order:Primates","Primates","order"
"family:Hominidae","Hominidae","family"
"species:Sivapithecus alpani","Sivapithecus alpani","species"
"species:Haemaphysalis calva","Haemaphysalis calva","species"
"species:Chimpanzee","Chimpanzee","species"
"family:Canidae","Canidae","family"
"species:Short-eared dog","Short-eared dog","species"
"species:Anopheles mosquito","Anopheles mosquito","species"
"species:Elephas iolensis","Elephas iolensis","species"
"order:Oligacanthorhynchida","Oligacanthorhynchida","order"
"family:Oligacanthorhynchidae","Oligacanthorhynchidae","family"
"species:Crab-Eating Fox Worm","Crab-Eating Fox Worm","species"
"species:Camponotus britteni","Camponotus britteni","species"
"species:Chestnut-shouldered goshawk","Chestnut-shouldered goshawk","species"
"order:Cetacea","Cetacea","order"
"species:Star-nosed mole","Star-nosed mole","species"
"species:Felis geoffroyi","Felis geoffroyi","species"
"species:Gigantohierax suarezi","Gigantohierax suarezi","species"
"species:Ixodes fynbosensis","Ixodes fynbosensis","species"
"species:Sabethes xhyphydes","Sabethes xhyphydes","species"
"order:Trombidiformes","Trombidiformes","order"
"family:Scutacaridae","Scutacaridae","family"
"species:Imparipes malus","Imparipes malus","species"
"species:Fiji goshawk","Fiji goshawk","species"
"species:Florida spectacled bear","Florida spectacled bear","species"
"species:Ixodes muniensis","Ixodes muniensis","species"
"species:Amblyomma eburneum","Amblyomma eburneum","species"
"species:Serval","Serval","species"
"species:Sulawesi serpent eagle","Sulawesi serpent eagle","species"
"order:Sarcoptiformes","Sarcoptiformes","order"
"family:Pterolichidae","Pterolichidae","family"
"species:Pseudalloptinus milvulinus","Pseudalloptinus milvulinus","species"
"species:Lion","Lion","species"
"order:Strigiformes","Strigiformes","order"
"family:Strigidae","Strigidae","family"
"species:Great horned owl","Great horned owl","species"
"species:Hercules ant","Hercules ant","species"
"species:Felidae spec.","Felidae spec.","species"
"species:Lynx caracal","Lynx caracal","species"
"species:Camponotus piceus","Camponotus piceus","species"
"species:Western Gorilla","Western Gorilla","species"
"order:Squamata","Squamata","order"
"species:Western diamondback rattlesnake","Western diamondback rattlesnake","species"
"species:Zaragocyon daamsi","Zaragocyon daamsi","species"
"species:Hyalomma isaaci","Hyalomma isaaci","species"
"species:Camponotus thales","Camponotus thales","species"
"family:Rhopalopsyllidae","Rhopalopsyllidae","family"
"species:Polygenis acodontis","Polygenis acodontis","species"
"species:Camponotus thoracicus","Camponotus thoracicus","species"
"species:Asian black bear","Asian black bear","species"
"order:Falconiformes","Falconiformes","order"
"family:Falconidae","Falconidae","family"
"species:Peregrine falcon","Peregrine falcon","species"
"species:Jungle cat","Jungle cat","species"
"species:Spot-tailed sparrowhawk","Spot-tailed sparrowhawk","species"
"species:Elephas beyeri","Elephas beyeri","species"
"order:Gymnotiformes","Gymnotiformes","order"
"species:Electric Eel","Electric Eel","species"
"sub_type:Electric Field Generation","Electric Field Generation","sub_type"
"species:Carpenter Ant","Carpenter Ant","species"
"species:Amblyomma astrion","Amblyomma astrion","species"
"species:Rock dove","Rock dove","species"
"species:Haemaphysalis paraturturis","Haemaphysalis paraturturis","species"
"species:Dermacentor latus","Dermacentor latus","species"
"species:Dermacentor circumguttatus","Dermacentor circumguttatus","species"
"family:Apidae","Apidae","family"
"species:Apidae melisuga","Apidae melisuga","species"
"order:Hypocreales","Hypocreales","order"
"family:Cordycipitaceae","Cordycipitaceae","family"
"species:Simplicillium formicidae","Simplicillium formicidae","species"
"species:Camponotus saxatilis","Camponotus saxatilis","species"
"order:Mesostigmata","Mesostigmata","order"
"family:Varroidae","Varroidae","family"
"species:Varroa mite","Varroa mite","species"
